"idfield","langid","field","label"
1,"en","title",""
2,"en","abstract",""
3,"en","fees",""
4,"en","accessConstraints",""
5,"es","title",""
6,"es","abstract",""
7,"es","fees",""
8,"es","accessConstraints",""
9,"nl","title",""
10,"nl","abstract",""
11,"nl","fees",""
12,"nl","accessConstraints",""
13,"cn","title",""
14,"cn","abstract",""
15,"cn","fees",""
16,"cn","accessConstraints",""
17,"de","title",""
18,"de","abstract",""
19,"de","fees",""
20,"de","accessConstraints",""
21,"fr","title",""
22,"fr","abstract",""
23,"fr","fees",""
24,"fr","accessConstraints",""
25,"pt","title",""
26,"pt","abstract",""
27,"pt","fees",""
28,"pt","accessConstraints",""
29,"ru","title",""
30,"ru","abstract",""
31,"ru","fees",""
32,"ru","accessConstraints",""
33,"no","title",""
34,"no","abstract",""
35,"no","fees",""
36,"no","accessConstraints",""
41,"ar","title",""
42,"ar","abstract",""
43,"ar","fees",""
44,"ar","accessConstraints",""
