"iddes","langid","label"
1,"ar","Afar"
2,"ar","Abkhazian"
3,"ar","Achinese"
4,"ar","Acoli"
5,"ar","Adangme"
6,"ar","Adyghe; Adygei"
7,"ar","Afro-Asiatic (Other)"
8,"ar","Afrihili"
9,"ar","Afrikaans"
10,"ar","Ainu"
11,"ar","Akan"
12,"ar","Akkadian"
13,"ar","Albanian"
14,"ar","Aleut"
15,"ar","Algonquian languages"
16,"ar","Southern Altai"
17,"ar","Amharic"
18,"ar","English, Old (ca.450-1100)"
19,"ar","Angika"
20,"ar","Apache languages"
21,"ar","Arabic"
22,"ar","Aramaic"
23,"ar","Aragonese"
24,"ar","Armenian"
25,"ar","Mapudungun; Mapuche"
26,"ar","Arapaho"
27,"ar","Artificial (Other)"
28,"ar","Arawak"
29,"ar","Assamese"
30,"ar","Asturian; Bable"
31,"ar","Athapascan languages"
32,"ar","Australian languages"
33,"ar","Avaric"
34,"ar","Avestan"
35,"ar","Awadhi"
36,"ar","Aymara"
37,"ar","Azerbaijani"
38,"ar","Banda languages"
39,"ar","Bamileke languages"
40,"ar","Bashkir"
41,"ar","Baluchi"
42,"ar","Bambara"
43,"ar","Balinese"
44,"ar","Basque"
45,"ar","Basa"
46,"ar","Baltic (Other)"
47,"ar","Beja"
48,"ar","Belarusian"
49,"ar","Bemba"
50,"ar","Bengali"
51,"ar","Berber (Other)"
52,"ar","Bhojpuri"
53,"ar","Bihari"
54,"ar","Bikol"
55,"ar","Bini; Edo"
56,"ar","Bislama"
57,"ar","Siksika"
58,"ar","Bantu (Other)"
59,"ar","Bosnian"
60,"ar","Braj"
61,"ar","Breton"
62,"ar","Batak languages"
63,"ar","Buriat"
64,"ar","Buginese"
65,"ar","Bulgarian"
66,"ar","Burmese"
67,"ar","Blin; Bilin"
68,"ar","Caddo"
69,"ar","Central American Indian (Other)"
70,"ar","Galibi Carib"
71,"ar","Catalan; Valencian"
72,"ar","Caucasian (Other)on liturgique; vieux bulgare"
73,"ar","Cebuano"
74,"ar","Celtic (Other)"
75,"ar","Chamorro"
76,"ar","Chibcha"
77,"ar","Chechen"
78,"ar","Chagataier)"
79,"ar","Chinese(Other)"
80,"ar","Chuukese"
81,"ar","Mari"
82,"ar","Chinook jargon"
83,"ar","Choctaw"
84,"ar","Chipewyan"
85,"ar","Cherokee"
86,"ar","Church Slavic; Old Slavonic; Church Sl"
87,"ar","Chuvash"
88,"ar","Cheyenne"
89,"ar","Chamic languages"
90,"ar","Coptic"
91,"ar","Cornish"
92,"ar","Corsican"
93,"ar","Creoles and pidgins, English based (Ot"
94,"ar","Creoles and pidgins, French-based (Oth"
95,"ar","Creoles and pidgins, Portuguese-based "
96,"ar","Cree"
97,"ar","Crimean Tatar; Crimean Turkish"
98,"ar","Creoles and pidgins (Other)"
99,"ar","Kashubian"
100,"ar","Cushitic (Other)"
101,"ar","Czech"
102,"ar","Dakota"
103,"ar","Danish"
104,"ar","Dargwa"
105,"ar","Land Dayak languages"
106,"ar","Delaware"
107,"ar","Slave (Athapascan)"
108,"ar","Dogrib"
109,"ar","Dinka"
110,"ar","Divehi; Dhivehi; Maldivian"
111,"ar","Dogri"
112,"ar","Dravidian (Other)"
113,"ar","Lower Sorbian"
114,"ar","Duala"
115,"ar","Dutch, Middle (ca.1050-1350)"
116,"ar","Dutch; Flemish"
117,"ar","Dyula"
118,"ar","Dzongkha"
119,"ar","Efik"
120,"ar","Egyptian (Ancient)"
121,"ar","Ekajuk"
122,"ar","Elamite"
123,"ar","English"
124,"ar","English, Middle (1100-1500)"
125,"ar","Esperanto"
126,"ar","Estonian"
127,"ar","Ewe"
128,"ar","Ewondo"
129,"ar","Fang"
130,"ar","Faroese"
131,"ar","Fanti"
132,"ar","Fijian"
133,"ar","Filipino; Pilipino"
134,"ar","Finnish"
135,"ar","Finno-Ugrian (Other)"
136,"ar","Fon"
137,"ar","French"
138,"ar","French, Middle (ca.1400-1600)"
139,"ar","French, Old (842-ca.1400)"
140,"ar","Northern Frisian"
141,"ar","Eastern Frisian"
142,"ar","Western Frisian"
143,"ar","Fulah"
144,"ar","Friulian"
145,"ar","Ga"
146,"ar","Gayo"
147,"ar","Gbaya"
148,"ar","Germanic (Other)"
149,"ar","Georgian"
150,"ar","German"
151,"ar","Geez"
152,"ar","Gilbertese"
153,"ar","Gaelic; Scottish Gaelic"
154,"ar","Irish"
