"iddes","langid","label"
0,"ar","Publish"
1,"ar","Download"
2,"ar","Editing"
3,"ar","Notify"
5,"ar","Interactive Map"
6,"ar","Featured"
0,"de","Veröffentlichen"
1,"de","Download"
2,"de","Editieren"
3,"de","Benachrichtigen"
5,"de","Interaktive Karte"
6,"de","Featured"
0,"nl","Publiceren"
1,"nl","Download"
2,"nl","Bewerken"
3,"nl","Informeren"
5,"nl","Interactieve Kaart"
6,"nl","In het spotlicht"
0,"no","Publisér"
1,"no","Nedlasting"
2,"no","Oppdatering"
3,"no","Varsle"
5,"no","Interaktivt kart"
6,"no","Aktuelt"
0,"pt","Publicar"
1,"pt","Download"
2,"pt","Editar"
3,"pt","Notificar"
5,"pt","Mapa Interactivo"
6,"pt","Featured"
0,"ru","Просмотр"
1,"ru","Загрузка"
2,"ru","Editing"
3,"ru","Уведомление"
5,"ru","Интерактивная карта"
6,"ru","Предлагаемая карта"
