"iddes","langid","label"
0,"ru","Unknown"
1,"ru","Draft"
2,"ru","Approved"
3,"ru","Retired"
4,"ru","Submitted"
5,"ru","Rejected"
0,"es","Unknown"
1,"es","Draft"
2,"es","Approved"
3,"es","Retired"
4,"es","Submitted"
5,"es","Rejected"
0,"fr","Unknown"
1,"fr","Draft"
2,"fr","Approved"
3,"fr","Retired"
4,"fr","Submitted"
5,"fr","Rejected"
0,"de","Unknown"
1,"de","Draft"
2,"de","Approved"
3,"de","Retired"
4,"de","Submitted"
5,"de","Rejected"
0,"nl","Unknown"
1,"nl","Draft"
2,"nl","Approved"
3,"nl","Retired"
4,"nl","Submitted"
5,"nl","Rejected"
0,"no","Unknown"
1,"no","Draft"
2,"no","Approved"
3,"no","Retired"
4,"no","Submitted"
5,"no","Rejected"
0,"fi","Unknown"
1,"fi","Draft"
2,"fi","Approved"
3,"fi","Retired"
4,"fi","Submitted"
5,"fi","Rejected"
0,"vi","Unknown"
1,"vi","Draft"
2,"vi","Approved"
3,"vi","Retired"
4,"vi","Submitted"
5,"vi","Rejected"
0,"cn","Unknown"
1,"cn","Draft"
2,"cn","Approved"
3,"cn","Retired"
4,"cn","Submitted"
5,"cn","Rejected"
0,"ar","Unknown"
1,"ar","Draft"
2,"ar","Approved"
3,"ar","Retired"
4,"ar","Submitted"
5,"ar","Rejected"
0,"en","Unknown"
1,"en","Draft"
2,"en","Approved"
3,"en","Retired"
4,"en","Submitted"
5,"en","Rejected"
0,"pt","Unknown"
1,"pt","Draft"
2,"pt","Approved"
3,"pt","Retired"
4,"pt","Submitted"
5,"pt","Rejected"

